listing_id,reviewer_name,review_date,review_status,final_quality_score_0_100,final_listing_decision,final_reviewer_note,label_source
L0001,Anmol,2026-02-18,reviewed,83,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -5,human_reviewed
L0002,Ashmita,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0003,Aniket,2026-02-18,reviewed,70,Review,Price deviation penalty -30,human_reviewed
L0004,Aniket,2026-02-15,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0005,Anmol,2026-02-21,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0006,Bhawya,2026-02-15,reviewed,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12,human_reviewed
L0007,Ashmita,2026-02-18,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0008,Anmol,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0009,Ashmita,2026-02-21,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0010,Anmol,2026-02-13,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0011,Bhawya,2026-02-21,reviewed,47,Reject,Condition penalty -8; Price deviation penalty -45,human_reviewed
L0012,Anmol,2026-02-13,reviewed,88,Approve,Price deviation penalty -12,human_reviewed
L0013,Anmol,2026-02-13,reviewed,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45,human_reviewed
L0014,Ashmita,2026-02-15,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0015,Anmol,2026-02-21,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0016,Ashmita,2026-02-13,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0017,Anmol,2026-02-21,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0018,Anmol,2026-02-13,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0019,Bhawya,2026-02-13,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0020,Anmol,2026-02-15,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0021,Bhawya,2026-02-13,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0022,Bhawya,2026-02-15,reviewed,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45,human_reviewed
L0023,Anmol,2026-02-15,reviewed,51,Reject,Age penalty -4; Price deviation penalty -45,human_reviewed
L0024,Aniket,2026-02-13,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0025,Aniket,2026-02-13,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0026,Bhawya,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0027,Aniket,2026-02-13,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0028,Ashmita,2026-02-18,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0029,Anmol,2026-02-21,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0030,Anmol,2026-02-21,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0031,Anmol,2026-02-15,reviewed,70,Review,Price deviation penalty -30,human_reviewed
L0032,Ashmita,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0033,Ashmita,2026-02-21,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0034,Anmol,2026-02-15,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0035,Anmol,2026-02-13,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0036,Anmol,2026-02-21,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0037,Ashmita,2026-02-13,reviewed,83,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -5,human_reviewed
L0038,Anmol,2026-02-21,reviewed,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20,human_reviewed
L0039,Ashmita,2026-02-18,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0040,Anmol,2026-02-15,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0041,Aniket,2026-02-18,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0042,Ashmita,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0043,Ashmita,2026-02-13,reviewed,54,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -20,human_reviewed
L0044,Anmol,2026-02-21,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0045,Anmol,2026-02-21,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0046,Ashmita,2026-02-21,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0047,Ashmita,2026-02-15,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0048,Aniket,2026-02-21,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0049,Anmol,2026-02-21,reviewed,80,Review,Price deviation penalty -20,human_reviewed
L0050,Ashmita,2026-02-18,reviewed,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45,human_reviewed
L0051,Ashmita,2026-02-15,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0052,Ashmita,2026-02-15,reviewed,72,Review,Condition penalty -8; Price deviation penalty -20,human_reviewed
L0053,Aniket,2026-02-21,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0054,Aniket,2026-02-15,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0055,Bhawya,2026-02-21,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0056,Aniket,2026-02-15,reviewed,33,Reject,Condition penalty -18; Age penalty -4; Price deviation penalty -45,human_reviewed
L0057,Anmol,2026-02-13,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0058,Anmol,2026-02-13,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0059,Aniket,2026-02-21,reviewed,70,Review,Price deviation penalty -30,human_reviewed
L0060,Ashmita,2026-02-13,reviewed,51,Reject,Age penalty -4; Price deviation penalty -45,human_reviewed
L0061,Anmol,2026-02-18,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0062,Anmol,2026-02-18,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
